threshold,tp,fp,tn,fn,recall,fpr,projected_precision
0.0106,500,422,78,0,1.0,0.844,0.00591870072681645
0.0105,500,424,76,0,1.0,0.848,0.005890946792968566
0.0104,500,426,74,0,1.0,0.852,0.005863451931421067
0.0102,500,429,71,0,1.0,0.858,0.005822687519651571
0.0101,500,432,68,0,1.0,0.864,0.005782486006383865
0.01,500,436,64,0,1.0,0.872,0.00572973964063073
0.0099,500,439,61,0,1.0,0.878,0.005690807070258704
0.0098,500,445,55,0,1.0,0.89,0.005614507888383583
0.0097,500,448,52,0,1.0,0.896,0.005577120421184134
0.0096,500,450,50,0,1.0,0.9,0.00555247084952804
0.0095,500,456,44,0,1.0,0.912,0.005479812371224409
0.0094,500,458,42,0,1.0,0.916,0.005456013618209991
0.0093,500,460,40,0,1.0,0.92,0.005432420686657975
0.0092,500,461,39,0,1.0,0.922,0.00542070057134184
0.0091,500,464,36,0,1.0,0.928,0.0053858416993407725
0.009,500,468,32,0,1.0,0.936,0.005340054682159945
0.0089,500,472,28,0,1.0,0.944,0.00529503960689626
0.0088,500,475,25,0,1.0,0.95,0.005261773217574323
0.0087,500,476,24,0,1.0,0.952,0.005250777115013022
0.0086,500,477,23,0,1.0,0.954,0.005239826876120014
0.0085,500,478,22,0,1.0,0.956,0.005228922214553137
0.0084,500,480,20,0,1.0,0.96,0.0052072484898979384
0.0083,500,482,18,0,1.0,0.964,0.005185753697442386
0.0081,500,486,14,0,1.0,0.972,0.005143292118419158
0.0079,500,487,13,0,1.0,0.974,0.005132785151879113
0.0078,500,488,12,0,1.0,0.976,0.005122321026103348
0.0077,500,489,11,0,1.0,0.978,0.005111899479608633
0.0075,500,492,8,0,1.0,0.984,0.005080887732704658
0.0073,500,494,6,0,1.0,0.988,0.005060421431896849
0.0072,500,496,4,0,1.0,0.992,0.0050401193500262086
0.0068,500,497,3,0,1.0,0.994,0.005030029274770379
0.0066,500,498,2,0,1.0,0.996,0.005019979518483564
0.0061,500,499,1,0,1.0,0.998,0.005009969839981564
0.0056,500,500,0,0,1.0,1.0,0.005
